,votes_dem_2016,votes_gop_2016,total_votes_2016,state_abbr
375,97676,124098,228509,FL
376,105611,109265,224377,FL
377,43037,88633,136392,FL
378,66812,70248,140731,FL
379,22631,52722,76649,FL
380,3955,14281,18675,FL
381,2149,6923,9279,FL
382,1014,4567,5693,FL
383,108793,142763,260304,FL
384,4348,10507,15344,FL
385,6861,25695,33559,FL
386,2261,8630,11144,FL
387,1434,5492,7003,GA
388,696,1873,2604,GA
389,607,3356,4010,GA
390,650,775,1440,GA
391,7965,7691,16075,GA
392,684,6130,6946,GA
393,6580,21105,28828,GA
394,8204,29879,39263,GA
395,2098,3734,5923,GA
396,1041,5408,6563,GA
397,34383,22589,58327,GA
398,1094,3717,4934,GA
399,619,5561,6285,GA
400,2504,3679,6268,GA
401,4010,10513,15063,GA
402,8812,14476,24151,GA
403,4730,4491,9350,GA
404,2566,6717,9477,GA
405,1178,829,2023,GA
406,5914,12287,18825,GA
407,1023,2661,3757,GA
408,12422,29983,43744,GA
409,4769,20860,26510,GA
410,1004,2950,4008,GA
411,58998,43649,106013,GA
412,593,746,1384,GA
413,1612,6457,8246,GA
414,25203,80611,110825,GA
415,29514,12691,44221,GA
416,697,566,1271,GA
417,75908,11740,89236,GA
418,685,1724,2443,GA
419,159416,152602,326424,GA
420,4090,9575,13896,GA
421,3460,9892,13592,GA
422,18863,43060,64190,GA
423,1752,4175,6038,GA
424,16572,42513,61315,GA
425,1419,3632,5157,GA
426,2835,4539,7500,GA
427,965,5047,6238,GA
428,1444,9880,11680,GA
429,4104,6009,10238,GA
430,239131,47531,295871,GA
431,1836,5021,6995,GA
432,1860,1941,3836,GA
433,23224,10227,33925,GA
434,30971,24803,57365,GA
435,2165,2552,4782,GA
436,156,1006,1175,GA
437,4851,17865,23395,GA
438,2507,5269,7912,GA
439,2433,5330,7838,GA
440,1130,2404,3602,GA
441,1920,9622,11764,GA
442,23255,35034,60387,GA
443,9127,24045,34250,GA
444,23427,69801,97314,GA
445,1243,7054,8474,GA
446,281875,110372,407173,GA
447,1955,10465,12713,GA
448,138,1235,1390,GA
449,11738,21482,34041,GA
450,3176,15171,18850,GA
451,3005,6047,9187,GA
452,3194,5488,8831,GA
453,165063,146463,323931,GA
454,2483,13184,16128,GA
455,16153,51681,70133,GA
456,2695,841,3572,GA
457,1474,9579,11317,GA
458,4082,11931,16392,GA
459,2583,7285,10077,GA
460,743,3370,4206,GA
461,49902,45641,98037,GA
462,22460,35351,59559,GA
463,890,2711,3659,GA
464,4469,21754,27057,GA
465,1544,4353,6016,GA
466,901,4102,5089,GA
467,3809,3057,6934,GA
468,1108,1892,3034,GA
469,1136,2519,3682,GA
470,3960,8304,12524,GA
471,2267,5183,7575,GA
472,805,1984,2861,GA
473,6737,12401,19448,GA
474,3166,10641,14106,GA
475,9531,6125,16082,GA
